
~2025-05-21 17:40:04 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 17:40:50 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 17:40:50 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 17:40:50 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 17:40:50 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 17:40:50 - [OK] Auditado: relatorio_auditoria.json - Hash: ED556F23...
2025-05-21 17:40:50 - [OK] Auditado: relatorio_auditoria.txt - Hash: 7C449EAB...
2025-05-21 17:40:50 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 17:40:50 - [OK] Auditado: auditoria_log.txt - Hash: 82EA0EE8...
2025-05-21 17:40:50 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 17:40:50 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 17:40:50 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 17:40:50 - [OK] Auditoria concluida.
2025-05-21 17:46:54 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 17:46:54 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 17:46:54 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 17:46:54 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 17:46:54 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 17:46:54 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 17:46:54 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 332B79BC...
2025-05-21 17:46:54 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 17:46:54 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 17:46:54 - [OK] Auditado: secretaria_virtual.exe - Hash: 16A35254...
2025-05-21 17:46:54 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 17:46:54 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 17:46:54 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 17:46:54 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 17:46:54 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 17:46:54 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 17:46:54 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 17:46:54 - [OK] Auditado: relatorio_auditoria.json - Hash: F0E9B46C...
2025-05-21 17:46:54 - [OK] Auditado: relatorio_auditoria.txt - Hash: 1E3FA6B2...
2025-05-21 17:46:54 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 17:46:54 - [OK] Auditado: auditoria_log.txt - Hash: 890F9B02...
2025-05-21 17:46:54 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 17:46:54 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 17:46:54 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 17:46:54 - [OK] Auditoria concluida.
2025-05-21 19:16:36 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:16:36 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:16:37 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:16:37 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:16:37 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:16:37 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:16:37 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 17BCCF41...
2025-05-21 19:16:37 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:16:37 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:16:37 - [OK] Auditado: secretaria_virtual.exe - Hash: C722476B...
2025-05-21 19:16:37 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:16:37 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:16:37 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:16:37 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: 9A3D0962...
2025-05-21 19:16:37 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:16:37 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:16:37 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:16:37 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:16:37 - [OK] Auditado: relatorio_auditoria.json - Hash: E983728B...
2025-05-21 19:16:37 - [OK] Auditado: relatorio_auditoria.txt - Hash: BB796466...
2025-05-21 19:16:37 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:16:37 - [OK] Auditado: auditoria_log.txt - Hash: 4BEC031F...
2025-05-21 19:16:37 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:16:37 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:16:37 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:16:37 - [OK] Auditoria concluida.
2025-05-21 19:18:20 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:18:20 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:18:20 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:18:20 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:18:20 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:18:20 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:18:20 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:18:20 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:18:20 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:18:20 - [OK] Auditado: secretaria_virtual.exe - Hash: 42091497...
2025-05-21 19:18:20 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:18:20 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:18:20 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:18:20 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: 9A3D0962...
2025-05-21 19:18:20 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:18:20 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:18:20 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:18:20 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:18:20 - [OK] Auditado: relatorio_auditoria.json - Hash: FFD4989F...
2025-05-21 19:18:20 - [OK] Auditado: relatorio_auditoria.txt - Hash: ADF28C96...
2025-05-21 19:18:20 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:18:20 - [OK] Auditado: auditoria_log.txt - Hash: 2D1BC19B...
2025-05-21 19:18:20 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:18:20 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:18:20 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:18:20 - [OK] Auditoria concluida.
2025-05-21 19:20:40 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:20:40 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:20:40 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:20:40 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:20:40 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:20:40 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:20:40 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:20:40 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:20:40 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:20:40 - [OK] Auditado: secretaria_virtual.exe - Hash: B946D80C...
2025-05-21 19:20:40 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:20:40 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:20:40 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:20:40 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:20:40 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:20:40 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:20:40 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:20:40 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:20:40 - [OK] Auditado: relatorio_auditoria.json - Hash: 9108D34D...
2025-05-21 19:20:40 - [OK] Auditado: relatorio_auditoria.txt - Hash: D5301799...
2025-05-21 19:20:40 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:20:41 - [OK] Auditado: auditoria_log.txt - Hash: 5311B939...
2025-05-21 19:20:41 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:20:41 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:20:41 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:20:41 - [OK] Auditoria concluida.
2025-05-21 19:24:21 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:24:21 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:24:21 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:24:21 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:24:22 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:24:22 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:24:22 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:24:22 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:24:22 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:24:22 - [OK] Auditado: secretaria_virtual.exe - Hash: BBA25B6A...
2025-05-21 19:24:22 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:24:22 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:24:22 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:24:22 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:24:22 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:24:22 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:24:22 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:24:22 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:24:22 - [OK] Auditado: relatorio_auditoria.json - Hash: BEFFE843...
2025-05-21 19:24:22 - [OK] Auditado: relatorio_auditoria.txt - Hash: 2C921B09...
2025-05-21 19:24:22 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:24:22 - [OK] Auditado: auditoria_log.txt - Hash: 00127378...
2025-05-21 19:24:22 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:24:22 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:24:22 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:24:22 - [OK] Auditoria concluida.
2025-05-21 19:25:31 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:25:31 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:25:31 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:25:31 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:25:31 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:25:31 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:25:31 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:25:31 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:25:31 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:25:31 - [OK] Auditado: secretaria_virtual.exe - Hash: BBA25B6A...
2025-05-21 19:25:31 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:25:31 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:25:31 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:25:31 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:25:31 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:25:31 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:25:31 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:25:31 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:25:31 - [OK] Auditado: relatorio_auditoria.json - Hash: E657E905...
2025-05-21 19:25:31 - [OK] Auditado: relatorio_auditoria.txt - Hash: 57D87375...
2025-05-21 19:25:31 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:25:31 - [OK] Auditado: auditoria_log.txt - Hash: CC2A1A27...
2025-05-21 19:25:31 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:25:31 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:25:32 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:25:32 - [OK] Auditoria concluida.
2025-05-21 19:25:40 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:25:40 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:25:40 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:25:40 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:25:40 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:25:40 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:25:40 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:25:40 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:25:40 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:25:40 - [OK] Auditado: secretaria_virtual.exe - Hash: BBA25B6A...
2025-05-21 19:25:40 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:25:40 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:25:40 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:25:40 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:25:40 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:25:40 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:25:40 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:25:40 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:25:40 - [OK] Auditado: relatorio_auditoria.json - Hash: D61DA98C...
2025-05-21 19:25:40 - [OK] Auditado: relatorio_auditoria.txt - Hash: 5A826670...
2025-05-21 19:25:40 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:25:40 - [OK] Auditado: auditoria_log.txt - Hash: 0F0BA51E...
2025-05-21 19:25:40 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:25:41 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:25:41 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:25:41 - [OK] Auditoria concluida.
2025-05-21 19:26:29 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:26:29 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:26:29 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:26:29 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:26:29 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:26:29 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:26:29 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:26:29 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:26:29 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:26:29 - [OK] Auditado: secretaria_virtual.exe - Hash: BBA25B6A...
2025-05-21 19:26:29 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:26:29 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:26:29 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:26:29 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:26:29 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:26:29 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:26:29 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:26:29 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:26:29 - [OK] Auditado: relatorio_auditoria.json - Hash: 687208D4...
2025-05-21 19:26:29 - [OK] Auditado: relatorio_auditoria.txt - Hash: 5E71040F...
2025-05-21 19:26:29 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:26:29 - [OK] Auditado: auditoria_log.txt - Hash: 49ED0B31...
2025-05-21 19:26:29 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:26:29 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:26:30 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:26:30 - [OK] Auditoria concluida.
2025-05-21 19:26:39 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:26:39 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:26:39 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:26:39 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:26:39 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:26:39 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:26:39 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:26:39 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:26:39 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:26:39 - [OK] Auditado: secretaria_virtual.exe - Hash: BBA25B6A...
2025-05-21 19:26:39 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:26:39 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:26:39 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:26:39 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:26:39 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:26:39 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:26:39 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:26:39 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:26:39 - [OK] Auditado: relatorio_auditoria.json - Hash: D75B98EB...
2025-05-21 19:26:39 - [OK] Auditado: relatorio_auditoria.txt - Hash: 21383B25...
2025-05-21 19:26:39 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:26:39 - [OK] Auditado: auditoria_log.txt - Hash: D9C45F7F...
2025-05-21 19:26:39 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:26:39 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:26:39 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:26:39 - [OK] Auditoria concluida.
2025-05-21 19:27:11 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:27:11 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 19:27:11 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 19:27:11 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 19:27:11 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 19:27:11 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 19:27:11 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-21 19:27:11 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 19:27:11 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 19:27:11 - [OK] Auditado: secretaria_virtual.exe - Hash: BBA25B6A...
2025-05-21 19:27:11 - [OK] Auditado: auditoria.ps1 - Hash: 42506C67...
2025-05-21 19:27:11 - [OK] Auditado: executar.ps1 - Hash: E9B74351...
2025-05-21 19:27:11 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 19:27:11 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F6068462...
2025-05-21 19:27:11 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 19:27:11 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 19:27:12 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 19:27:12 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 19:27:12 - [OK] Auditado: relatorio_auditoria.json - Hash: 04394ED9...
2025-05-21 19:27:12 - [OK] Auditado: relatorio_auditoria.txt - Hash: 97C6F86F...
2025-05-21 19:27:12 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 19:27:12 - [OK] Auditado: auditoria_log.txt - Hash: 5C873898...
2025-05-21 19:27:12 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 19:27:12 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 19:27:12 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 19:27:12 - [OK] Auditoria concluida.
2025-05-21 19:27:16 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 19:27:17 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
